collision_date,NUM_injuries,NUM_deaths
2020-07-04,101,0
2020-07-07,72,1
2020-07-01,79,0
2020-07-02,112,0
2020-07-23,83,0
2020-08-08,68,1
2020-06-26,101,1
2020-06-24,81,0
2020-06-16,79,1
2020-08-28,87,0
2020-06-29,82,1
2020-08-04,81,0
2020-06-15,57,0
2020-06-11,68,0
2020-06-18,82,0
2020-07-10,77,0
2020-08-17,87,0
2020-07-20,73,0
2020-08-20,91,0
2020-08-29,94,0
2020-07-26,91,1
2020-08-07,85,1
2020-08-12,101,0
2020-06-09,75,0
2020-07-28,69,1
2020-08-10,80,0
2020-06-21,72,1
2020-08-30,113,1
2020-08-26,90,0
2020-08-11,87,1
2020-08-03,97,1
2020-06-01,50,0
2020-06-19,83,0
2020-08-25,85,0
2020-07-05,99,1
2020-07-21,98,0
2020-07-29,80,0
2020-08-06,82,0
2020-07-13,86,0
2020-06-12,86,2
2020-06-13,95,1
2020-08-19,80,0
2020-07-24,73,0
2020-08-15,93,2
2020-08-24,78,1
2020-06-27,79,1
2020-07-15,83,1
2020-07-18,86,1
2020-08-09,90,1
2020-07-09,86,0
2020-08-13,100,0
2020-08-31,100,0
2020-07-08,78,0
2020-06-23,107,1
2020-06-04,92,1
2020-08-22,93,0
2020-07-17,80,0
2020-07-30,95,0
2020-08-23,106,0
2020-07-11,88,3
2020-07-06,82,1
2020-07-12,76,0
2020-06-08,65,0
2020-08-21,91,0
2020-08-01,111,0
2020-06-02,52,1
2020-06-17,74,0
2020-08-27,115,1
2020-08-14,82,1
2020-06-14,72,0
2020-06-22,94,0
2020-07-31,84,0
2020-06-28,74,0
2020-06-03,67,0
2020-08-05,106,0
2020-07-27,89,0
2020-06-20,77,0
2020-07-22,72,0
2020-06-25,74,0
2020-06-10,60,1
2020-07-25,89,1
2020-09-01,98,2
2020-07-19,85,0
2020-08-16,69,1
2020-06-07,63,0
2020-06-05,69,1
2020-07-03,82,0
2020-07-16,89,0
2020-08-02,65,2
2020-07-14,93,1
2020-06-06,71,0
2020-06-30,70,3
2020-08-18,82,0
